dataset,tier,model_dir,n_models,metric,stratum,estimate,ci95_low,ci95_high,one_sided95_lower,conditional_finite_ci95_low,conditional_finite_ci95_high,bootstrap_n,bootstrap_undefined,bootstrap_undefined_fraction,interval_status,geometric_shift_pct,geometric_ci95_low_pct,geometric_ci95_high_pct
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-pro-0813_20260815_030703,1,log,known_label,0.12686142805085865,0.052054906483960564,0.2064638576835806,0.06409890728525323,0.052054906483960564,0.2064638576835806,10000,0,0.0,supported,13.525969173298455,5.343358125952209,22.932330282234812
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-pro-0813_20260815_030703,1,log,positive,0.08487524078737607,,,,-0.046424786912419684,0.213681389808362,10000,50,0.005,withheld_undefined_support,8.858124768689981,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-pro-0813_20260815_030703,1,log,negative,0.13520598124747707,0.050493372202542734,0.224645367127434,0.06421168631310739,0.050493372202542734,0.224645367127434,10000,0,0.0,supported,14.477256174796608,5.178989228152827,25.187868012918745
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-pro-0813_20260815_030703,1,binary,all,0.33850931677018636,0.1382978723404255,0.5319352030947773,0.17124477203787114,0.1382978723404255,0.5319352030947773,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-pro-0813_20260815_030703,1,binary,known_label,0.3520950594121326,0.14434823059823057,0.5534201063164478,0.17824472187409626,0.14434823059823057,0.5534201063164478,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-pro-0813_20260815_030703,1,binary,positive,0.3,,,,-0.3333333333333333,0.8333333333333334,10000,50,0.005,withheld_undefined_support,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,deepseek-v4-pro-0813_20260815_030703,1,binary,negative,0.3630268199233716,0.1317189554049955,0.5879179616332653,0.17142303433001102,0.1317189554049955,0.5879179616332653,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,glm-5p2_20260815_030703,1,log,all,0.25630332980578885,-0.051012430206627976,0.5780356908206388,-0.001273184406794821,-0.051012430206627976,0.5780356908206388,10000,0,0.0,supported,29.214461447622593,-4.973314155438844,78.25335425348766
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,glm-5p2_20260815_030703,1,log,known_label,0.25630332980578885,-0.051012430206627976,0.5780356908206388,-0.001273184406794821,-0.051012430206627976,0.5780356908206388,10000,0,0.0,supported,29.214461447622593,-4.973314155438844,78.25335425348766
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,glm-5p2_20260815_030703,1,log,positive,0.23626555055298226,-0.10291182326023192,0.5715127074175187,-0.04222894192008972,-0.10291182326023192,0.5715127074175187,10000,0,0.0,supported,26.651058810253637,-9.779347639592139,77.09439462874855
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,glm-5p2_20260815_030703,1,log,negative,0.34027858587651494,,,,-0.3683345437298646,1.348118730118504,10000,28,0.0028,withheld_undefined_support,40.53390436436865,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,glm-5p2_20260815_030703,1,binary,all,0.34242424242424246,0.10838068181818188,0.5651639596962178,0.14942116755242443,0.10838068181818188,0.5651639596962178,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,glm-5p2_20260815_030703,1,binary,known_label,0.34242424242424246,0.10838068181818188,0.5651639596962178,0.14942116755242443,0.10838068181818188,0.5651639596962178,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,glm-5p2_20260815_030703,1,binary,positive,0.28846153846153844,0.018452898550724604,0.546092190016103,0.06000000000000005,0.018452898550724604,0.546092190016103,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,glm-5p2_20260815_030703,1,binary,negative,0.5476190476190477,,,,0.0,1.0,10000,28,0.0028,withheld_undefined_support,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling-small_20260815_192811,1,log,all,0.08402513033859194,-0.10317843672837865,0.278092622508926,-0.07313843920630257,-0.10317843672837865,0.278092622508926,10000,0,0.0,supported,8.76562266346301,-9.80339847433571,32.06085096180367
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling-small_20260815_192811,1,log,known_label,0.08402513033859194,-0.10317843672837865,0.278092622508926,-0.07313843920630257,-0.10317843672837865,0.278092622508926,10000,0,0.0,supported,8.76562266346301,-9.80339847433571,32.06085096180367
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling-small_20260815_192811,1,log,positive,0.047776646264487965,-0.13955151267217206,0.23899045332794464,-0.10941032984677737,-0.13955151267217206,0.23899045332794464,10000,0,0.0,supported,4.893634530739706,-13.025178100446116,26.99664125731025
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling-small_20260815_192811,1,log,negative,0.18115028369402353,,,,0.06899287148695166,0.25131442828090655,10000,3861,0.3861,withheld_undefined_support,19.859529508721216,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling-small_20260815_192811,1,binary,all,0.10979729729729731,-0.09191602316602315,0.3124031200317965,-0.05965206585896239,-0.09191602316602315,0.3124031200317965,10000,0,0.0,supported,,,
h6_excluding_confirmed_or_uncertain_audited_disclosures,per_model,inkling-small_20260815_192811,1,binary,known_label,0.10979729729729731,-0.09191602316602315,0.3124031200317965,-0.05965206585896239,-0.09191602316602315,0.3124031200317965,10000,0,0.0,supported,,,
