dataset,tier,model_dir,stratum,lower,upper,interpretation
full_fresh_parse,per_model,glm-5p2_20260815_030703,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,glm-5p2_20260815_030703,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,inkling-small_20260815_192811,all,-0.12,0.38,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,inkling-small_20260815_192811,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,inkling-small_20260815_192811,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,inkling-small_20260815_192811,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,inkling_20260815_030703,all,-0.13999999999999996,0.41000000000000003,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,inkling_20260815_030703,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,inkling_20260815_030703,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,inkling_20260815_030703,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,kimi-k3_20260815_030702,all,0.019999999999999962,0.33999999999999997,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,kimi-k3_20260815_030702,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,kimi-k3_20260815_030702,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,kimi-k3_20260815_030702,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,minimax-m3_20260815_030703,all,-0.12,0.19000000000000006,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,minimax-m3_20260815_030703,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,minimax-m3_20260815_030703,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,minimax-m3_20260815_030703,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,qwen3.5-122b-a10b_20260815_030702,all,0.39000000000000007,0.5599999999999999,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,qwen3.5-122b-a10b_20260815_030702,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,qwen3.5-122b-a10b_20260815_030702,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,qwen3.5-122b-a10b_20260815_030702,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,qwen3p8-2p4t-a95b_20260815_030703,all,0.18000000000000005,0.44999999999999996,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,qwen3p8-2p4t-a95b_20260815_030703,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,qwen3p8-2p4t-a95b_20260815_030703,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,per_model,qwen3p8-2p4t-a95b_20260815_030703,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_parse,primary_9,,all,0.06444444444444446,0.40888888888888886,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,primary_9,,known_label,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,primary_9,,positive,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,primary_9,,negative,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,all_10,,all,0.048000000000000015,0.42699999999999994,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,all_10,,known_label,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,all_10,,positive,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,all_10,,negative,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,raw_reasoning_8,,all,0.058750000000000004,0.415,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,raw_reasoning_8,,known_label,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,raw_reasoning_8,,positive,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,raw_reasoning_8,,negative,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,claude_summary_only,,all,0.10999999999999999,0.36,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,claude_summary_only,,known_label,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,claude_summary_only,,positive,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,claude_summary_only,,negative,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,both_labels_supported,,all,0.01142857142857143,0.39428571428571424,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,both_labels_supported,,known_label,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,both_labels_supported,,positive,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_parse,both_labels_supported,,negative,,,Equal fixed-model mean of finite-sample missing-Y bounds; not CI or log-effect bounds.
full_fresh_plus_reviewed_corrections,per_model,claude-opus-4-7_20260815_042213,all,0.10999999999999999,0.36,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,claude-opus-4-7_20260815_042213,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,claude-opus-4-7_20260815_042213,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,claude-opus-4-7_20260815_042213,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,deepseek-v4-flash-0731_20260815_030703,all,0.42,0.42,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,deepseek-v4-flash-0731_20260815_030703,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,deepseek-v4-flash-0731_20260815_030703,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,deepseek-v4-flash-0731_20260815_030703,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,deepseek-v4-pro-0813_20260815_030703,all,-0.09999999999999998,0.59,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,deepseek-v4-pro-0813_20260815_030703,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,deepseek-v4-pro-0813_20260815_030703,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,deepseek-v4-pro-0813_20260815_030703,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,glm-5p2_20260815_030703,all,-0.16000000000000003,0.57,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,glm-5p2_20260815_030703,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,glm-5p2_20260815_030703,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,glm-5p2_20260815_030703,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,inkling-small_20260815_192811,all,-0.12,0.38,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,inkling-small_20260815_192811,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,inkling-small_20260815_192811,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,inkling-small_20260815_192811,negative,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,inkling_20260815_030703,all,-0.13999999999999996,0.41000000000000003,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,inkling_20260815_030703,known_label,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
full_fresh_plus_reviewed_corrections,per_model,inkling_20260815_030703,positive,,,Finite-sample missing-Y identification bounds; not CI; labels treated as observed subsets; no log-effect bound.
